epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5019.62,1.12149,0.78028,1.13702,0.92938,0.89092,0.94932,0.71828,0.91955,0.48519,1.05895,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5172.36,1.11759,0.76636,1.13866,0.92426,0.89573,0.9499,0.71527,0.91679,0.47852,1.06472,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5324.92,1.1109,0.76478,1.13545,0.93404,0.88497,0.94974,0.72148,0.91205,0.47402,1.06163,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5479.91,1.10363,0.75561,1.13662,0.94572,0.89906,0.9543,0.72167,0.90681,0.45467,1.05464,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5628.97,1.09981,0.75563,1.13482,0.934,0.90077,0.9533,0.72405,0.89277,0.45861,1.04777,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5781.64,1.10023,0.74438,1.13192,0.93813,0.89974,0.95661,0.73042,0.88981,0.4412,1.04537,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5949.13,1.09108,0.73562,1.12576,0.93484,0.89774,0.95416,0.72915,0.88826,0.45886,1.04326,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6123.32,1.0915,0.73498,1.12254,0.93772,0.90313,0.95564,0.73679,0.87273,0.43906,1.0329,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6295.4,1.08325,0.71478,1.12403,0.93607,0.90741,0.95705,0.73826,0.86902,0.43323,1.03096,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6475.53,1.06965,0.71341,1.11964,0.94514,0.90071,0.95878,0.73712,0.86973,0.43106,1.02686,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6650.59,1.07009,0.70995,1.11196,0.94341,0.90839,0.95996,0.74228,0.86465,0.41635,1.02663,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6827.78,1.06966,0.70876,1.11035,0.94303,0.90407,0.96008,0.73863,0.86745,0.43052,1.03198,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6999.86,1.06378,0.69812,1.10886,0.93784,0.90484,0.95839,0.74544,0.84987,0.42162,1.01731,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7172.37,1.05636,0.69908,1.10224,0.9407,0.91007,0.96083,0.74478,0.85501,0.41476,1.02291,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7326.58,1.05231,0.6964,1.10629,0.94033,0.89965,0.95946,0.74233,0.85034,0.42467,1.02106,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7477.68,1.05155,0.68638,1.1026,0.94689,0.89883,0.961,0.74821,0.84693,0.40992,1.01611,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7629.17,1.03549,0.67625,1.09515,0.94375,0.9074,0.96162,0.74942,0.83711,0.41434,1.00976,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7779.41,1.03943,0.68029,1.09834,0.9381,0.91607,0.96253,0.75271,0.83705,0.40636,1.01413,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7931.73,1.0408,0.67149,1.09654,0.94408,0.91008,0.96434,0.7511,0.83491,0.39994,1.00741,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8085.39,1.02726,0.66129,1.09779,0.94407,0.91072,0.96486,0.75164,0.82724,0.39609,1.00272,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8236.48,1.02697,0.65368,1.0923,0.94837,0.90765,0.96241,0.75532,0.82589,0.39678,1.00413,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8394.02,1.02617,0.66642,1.09113,0.94029,0.9149,0.96323,0.75696,0.82457,0.39325,1.00539,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8548.79,1.022,0.65291,1.08951,0.94695,0.91124,0.96313,0.75717,0.82643,0.39614,1.00645,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8705.41,1.00948,0.65061,1.08672,0.94529,0.91756,0.96483,0.75879,0.82519,0.38879,1.00781,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8865.21,1.0169,0.64931,1.08571,0.94642,0.92065,0.96578,0.76064,0.81585,0.37563,1.00205,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9019.41,1.00973,0.64089,1.08141,0.93929,0.92234,0.96547,0.76499,0.79869,0.38628,0.99058,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9175.95,0.99669,0.63895,1.07817,0.95141,0.91818,0.96694,0.76552,0.79986,0.37506,0.98689,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9326.92,0.99886,0.63556,1.0762,0.94633,0.91843,0.96645,0.76561,0.80048,0.37344,0.98983,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9478.32,0.99386,0.63277,1.07997,0.95479,0.91453,0.96617,0.76428,0.80168,0.37583,0.99572,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9633.41,0.9825,0.63235,1.07774,0.94931,0.9212,0.96629,0.76651,0.78926,0.37396,0.98785,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9783.17,0.98923,0.62908,1.07277,0.94761,0.91855,0.96679,0.76766,0.78899,0.37619,0.98226,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9938.92,0.97928,0.61725,1.06821,0.95419,0.91872,0.9686,0.76921,0.78663,0.3604,0.98212,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10091.5,0.97562,0.62532,1.07233,0.95057,0.92247,0.96921,0.76928,0.78493,0.36841,0.9782,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10242.6,0.97372,0.6052,1.06434,0.94991,0.92547,0.96817,0.77195,0.78097,0.3617,0.97942,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10393.6,0.96919,0.6057,1.06572,0.94973,0.92874,0.96987,0.77234,0.77768,0.35998,0.97885,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10544.4,0.959,0.60134,1.06273,0.95769,0.92104,0.96934,0.77491,0.77315,0.35521,0.97268,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10695.7,0.96051,0.59867,1.06172,0.95469,0.92516,0.96955,0.77367,0.774,0.35315,0.97665,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10848.2,0.95826,0.60012,1.06094,0.94769,0.92567,0.96981,0.77673,0.76419,0.35497,0.97266,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11000.3,0.95875,0.59326,1.05751,0.94902,0.92285,0.9704,0.7758,0.77194,0.35131,0.97386,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11151.5,0.95041,0.58799,1.05568,0.95834,0.918,0.97139,0.7764,0.76741,0.34922,0.96942,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11302.6,0.94339,0.58303,1.04905,0.95416,0.91922,0.97006,0.77686,0.76442,0.35423,0.96711,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11455.6,0.94325,0.58398,1.05048,0.94837,0.92864,0.97035,0.77668,0.7627,0.3598,0.96903,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11603.8,0.93884,0.57894,1.05464,0.95539,0.92589,0.97142,0.7794,0.75865,0.35145,0.96486,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11756.3,0.93798,0.56674,1.04672,0.95513,0.92618,0.97034,0.77987,0.75602,0.34873,0.96497,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11897.6,0.93227,0.57066,1.04196,0.95644,0.92787,0.97236,0.78145,0.75349,0.3413,0.96171,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12049.6,0.92603,0.56975,1.04699,0.95629,0.92495,0.97288,0.78204,0.75155,0.34338,0.95979,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12205.2,0.92317,0.56138,1.04451,0.95443,0.92736,0.97222,0.78187,0.74892,0.33847,0.95842,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12361.8,0.91952,0.56013,1.03935,0.95273,0.93139,0.97282,0.78505,0.74434,0.33735,0.95493,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12517.7,0.91461,0.55753,1.0407,0.95777,0.92465,0.97344,0.78516,0.74387,0.33688,0.95662,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12673.4,0.90296,0.5473,1.03256,0.95969,0.92445,0.97306,0.78609,0.73945,0.33694,0.953,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12826.5,0.90503,0.54898,1.03934,0.95808,0.93019,0.97354,0.78674,0.73909,0.33533,0.9532,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12979.8,0.90157,0.55317,1.03473,0.95592,0.93302,0.9739,0.78828,0.73648,0.32997,0.95395,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,13130.6,0.89761,0.54633,1.029,0.96283,0.92881,0.97427,0.78797,0.73424,0.32822,0.95188,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13283.3,0.89465,0.54697,1.0302,0.95206,0.93522,0.97343,0.78701,0.73399,0.33197,0.94987,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
